50, 185
Washington, 38.909695621598566, -77.01263363217952
Berlin, 52.52397622694981, 13.393832703601316
Ottawa, 45.42680802569631, -75.65331476823737
Ankara, 39.93471068136886, 32.859238439311454
Beijing, 39.966993048196215, 116.47120925009729
Moscow, 55.765061974408916, 37.695568267463955
Algiers, 36.74808074776466, 3.127646398529617
Tehran, 35.73313929641397, 51.34802709305837
Paris, 48.859910239233066, 2.3631347318719724
Cape Town, -33.966234962766315, 18.557022387549846
Oslo, 59.91277075223436, 10.763786387477559
Stockholm, 59.33555344620337, 18.079983929833002
Helsinki, 60.16439495478358, 24.96440957926929
London, 51.510125473486646, -0.12757193110119786
Cairo, 30.04794150558246, 31.2393921090994
Abu Dhabi, 24.441713592829668, 54.4009181503454
Riyadh, 24.738718455249337, 46.70412211227843
Brasília, -15.793518662328328, -47.893431667443394
Canberra, -35.27968232339867, 149.12908013455584
Copenhagen, 55.67773930193486, 12.593812058655638
Rome, 41.90513425288143, 12.467975044298951
Rabat, 34.01416694009309, -6.855550469194705
Jakarta, -6.18944649307444, 106.81507848910375
Buenos Aires, -34.601883029057596, -58.37942909883757
Tokyo, 35.71642560452511, 139.88409242098217
Madrid, 40.42215709170194, -3.707018245173852
Athens, 37.98647911940222, 23.73181213276424
Reykjavik, 64.14897047550596, -21.93141585656757
Lima, -12.051963486232287, -77.04965608272691
Luanda, -8.81278615969276, 13.238766117152707
Abuja, 9.059169669210823, 7.491405101781149
Mexico City, 19.435344337376637, -99.14500525163355
Mogadishu, 2.0451314779437806, 45.335155657782074
Islamabad, 33.70597893794908, 73.0352274180745
Bangkok, 13.767067821134555, 100.51492777769177
Hanoi, 21.029945055057528, 105.83593254002487
Baghdad, 33.323626824732, 44.37168059661357
Warsaw, 52.23001949071514, 21.010557555367754
Jerusalem, 31.766815654278098, 35.21621002315189
Dublin, 53.3508563012977, -6.253269709219198
Wellington, -41.29412756403341, 174.77484272267304
Santiago, -33.4379787157991, -70.6518685293682
Seoul, 37.532600, 127.024612
Brussels, 50.84620674950143, 4.361336994349024
Amman, 31.96707871789134, 35.92696122549553
Lisbon, 38.72182179946973, -9.140513773993382
Singapore, 1.2805028096005986, 103.83744361437749
Kuala Lumpur, 3.153576416715282, 101.70413544415291
Kuwait City, 29.450846444738985, 48.29059886566121
Doha, 25.31032868700806, 51.60827496103547
Washington, London, 435, 404
Washington, Tokyo, 855, 979
Washington, Riyadh, 735, 976
Washington, Brasília, 590, 681
Washington, Mexico City, 319, 325
Berlin, Paris, 110, 39
Berlin, Brussels, 90, 45
Berlin, Warsaw, 70, 129
Berlin, Beijing, 545, 380
Berlin, London, 115, 27
Berlin, Stockholm, 100, 72
Dublin, Washington, 490, 622
Dublin, Cairo, 315, 375
Dublin, Reykjavik, 160, 219
Ottawa, Washington, 100, 166
Ottawa, Paris, 420, 656
Ankara, Berlin, 205, 91
Ankara, Tehran, 185, 177
Ankara, Cairo, 125, 109
Ankara, Baghdad, 175, 68
Ankara, Moscow, 255, 100
Ankara, Bangkok, 530, 517
Ankara, Kuala Lumpur, 680, 351
Beijing, Moscow, 515, 353
Beijing, Hanoi, 440, 148
Beijing, Jakarta, 465, 746
Beijing, Seoul, 130, 77
Moscow, Tokyo, 974, 196
Moscow, Tehran, 185, 196
Moscow, Ankara, 265, 98
Moscow, Warsaw, 120, 198
Algiers, Paris, 155, 56
Algiers, Cairo, 225, 249
Tehran, Baghdad, 85, 226
Tehran, Kuwait City, 95, 167
Tehran, Abu Dhabi, 125, 163
Paris, Washington, 525, 1371
Paris, Madrid, 130, 49
Paris, Rome, 125, 47
Paris, Abu Dhabi, 400, 597
Paris, Rabat, 250, 62
Paris, Luanda, 530, 2103
Paris, Hanoi, 810, 955
Cape Town, Ankara, 680, 456
Cape Town, Luanda, 240, 306
Oslo, Stockholm, 60, 58
Oslo, Copenhagen, 75, 66
Oslo, Reykjavik, 190, 152
Oslo, Helsinki, 90, 53
Stockholm, Copenhagen, 75, 55
Stockholm, Helsinki, 60, 39
Helsinki, Ankara, 230, 159
London, Ottawa, 455, 1056
London, Paris, 75, 31
London, Oslo, 125, 28
London, Cape Town, 715, 416
London, Dublin, 75, 44
London, Seoul, 755, 708
Cairo, Abu Dhabi, 190, 124
Cairo, Rabat, 340, 238
Cairo, Brussels, 290, 276
Cairo, Copenhagen, 285, 250
Cairo, Kuwait City, 174, 127
Abu Dhabi, Riyadh, 115, 254
Abu Dhabi, Amman, 210, 88
Abu Dhabi, Baghdad, 160, 138
Abu Dhabi, Islamabad, 190, 202
Abu Dhabi, Cape Town, 590, 650
Abu Dhabi, Dublin, 510, 526
Riyadh, Cairo, 200, 200
Riyadh, Abu Dhabi, 95, 260
Riyadh, Amman, 160, 165
Riyadh, Ankara, 270, 85
Riyadh, Mogadishu, 225, 500
Brasília, Buenos Aires, 215, 167
Brasília, Santiago, 290, 126
Brasília, Lima, 275, 216
Brasília, Lisbon, 545, 576
Canberra, Abu Dhabi, 860, 910
